urls,programname,programstatus,programshortdesc,programsummary,programhosts,programtopics,programgenres
http://kboo.fm/program/italian-hour,Italian Hour,Current,"Italian music primarily from the 50s, 60s and 70s with occasional modern tunes. ","Sundays 9:00 to 10:00.
This show alternates weekly with Holland Hour.
","[""Lucia Galizia"", ""AndreaScasso""]",[],"[""Arts and Culture"", ""World - Ethnic"", ""Eclectic"", ""Folk"", ""Rock and Roll""]"
http://kboo.fm/program/jazz-afternoon,Jazz in the Afternoon,Current,Mainstream Jazz from the historic to the present,"Every other Wednesday, 2:00pm to 4:00pm

Bob Riddle is continuing the 25-year KBOO tradition established by the late Jim Andrews, in Jim's spirit:  the very best in jazz music, from the historical to the present. 

A jazz artist or musical theme is showcased from 2 to 3 p.m.  Our wealth of Portland-area-resident musicians is our focus from 3 to 4 p.m with ""Jazz Current Events"" Jazz Calendar.

Pacific Northwest jazz artists are encouraged to send their recordings to Bob for airplay. Contact:   bruin13@comcast.net     

 
","[""Bob Riddle"", ""Rita Rega""]",[],"[""Jazz"", ""Arts and Culture""]"
http://kboo.fm/program/jazz-lives,Jazz Lives!,Current,Jazz America's classical music served up with love.,"Every Wednesday from 12:00pm - 2:00pm
Jazz of all stripes swingin smokin bluesy funky new and old but all good.Lots of special guests from the jazz community local and international.I try to have an open door policy for all serious jazz musicians and jazz movers and groovers in an effort to serve the jazz community.
","[""Nick Gefroh""]","[""Arts/Culture""]","[""Jazz"", ""Blues"", ""World - Ethnic""]"
http://kboo.fm/program/kabhi-khushi-kabhie-kush,Kabhi Khushi Kabhie Kush ,Current,Electronic urban folk from the global diaspora. An auditory map of the world w/ South Asia at center,"Every Tuesday from 10:00pm to midnight.
 
Kabhi Khushi Kabhie Kush is presented by your hosts DJ Anjali and The Incredible Kid. Electronic folk and urban sounds from the global diaspora and the desh; an auditory map of the world with South Asia at the center. 
	Anjali and The Kid have been proud hosts on KBOO Community Radio since January of 2006.
	 
	www.anjaliandthekid.com/ 
	www.facebook.com/Anjaliandthekid 
	www.twitter.com/anjaliandthekid 
	www.twitter.com/incrediblekid23
	https://soundcloud.com/djanjali
	https://soundcloud.com/the-incredible-kid
		 
		DJ Anjali and The Incredible Kid have spent more than a decade igniting dance floors with cutting edge music not limited by borders or language. They host the longest-running Bhangra and Bollywood party on the West Coast, co-founded the Pacific Northwest’s first Global Bass dance party and host two weekly radio shows onXRAY.FM and KBOO.FM. Few DJs can be said to have changed the sound of their city but that is exactly what DJ Anjali and The Incredible Kid have accomplished since they first introduced Portland, Oregon nightclub audiences to the many varied sounds of Global Bass at a raucous New Year’s Eve debut in 2000. They are most known for incinerating dance floors with the heavy dance floor artillery of South Asia, but the duo scour the globe for any hard-hitting music that combines local music traditions with window-rattling production. Anjali and The Kid regularly perform at festivals including five sets at the Sasquatch! Music Festival tenth anniversary where they headlined the dance tent opening night. They have performed at festivals such as Decibel, MusicfestNW, Vancouver International Bhangra Celebration, Beloved, Photosynthesis, Fairytale, Kaleidoscope and the Vancouver Queer Film Festival. The duo travel to perform in cities such as New York City, Chicago, Washington DC, San Francisco and Vancouver, BC to headline parties such as Basement Bhangra, iBomba, Bhangrateque, Ottomania and Non Stop Bhangra.
		 
		After making a name for themselves in their hometown’s raucous house party circuit, DJ Anjali & The Incredible Kid introduced the Portland, Oregon nightclub scene to the sounds of Bhangra, Bollywood and Global Bass on New Year’s Eve 2000. A series of residencies followed, beginning with a night at the legendary Blackbird, and the duo began hosting their ANDAZ dance parties in July of 2002. The party’s focus on hardcore Panjabi Bhangra and the latest electronic confections from the Bollywood film industry continue to pack the dance floor after 12 years. While ANDAZ was still in the bloom of youth, Anjali and The Kid founded the revolutionary dance night ATLAS (with co-host/DJ E3) at Holocene in November of 2003 to introduce Portland to Global Bass sounds such as: Balkan Beats, Reggaeton, Funk Carioca,  3Ball Guarachero, Digital Cumbia, Urban Desi, French and Arabic Hip-Hop, Rai N B, Reggada, Dembow, Dubstep, Kuduro, Merengue Urbano and a host of other local and diasporic future musics. ATLAS was a vital party in Portland nightlife and the Global Bass scene internationally for more than nine years and remains the longest-running night in Holocene’s history. In 2013 Anjali and The Kid initiated TROPITAAL: A Desi Latino Soundclash, their latest project.
		 
		They have supported artists as diverse as A Tribe Called Red, Tigerstyle, Balkan Beat Box, Major Lazer, Skrillex, Flying Lotus, Saini Surinder, Digable Planets, Delhi 2 Dublin, Sleigh Bells, Glitch Mob, Dengue Fever, Blockhead, Uproot Andy, Hindi Zahra, Toy Selectah, Quantic, Opiuo, Bonobo, Gold Panda, Maga Bo, Poirier, Plastician, Kultur Shock, Ghostland Observatory, State of Bengal, Karsh Kale, DJ Rekha, DJ Spooky, CeU, Antibalas, Nickodemus & Joro-Boro.
		 
		""DJ Anjali & the Incredible Kid have been Portland’s leading world music DJs since the turn of the millennium."" -Willamette Week  12/31/14
		 
		""Portland's finest purveyors of Bollywood, bhangra and global bass music."" -Vortex Music Magazine
		 
		“Maybe the Portland area’s most well-known deejays.” The Portland Tribune 1/26/12
		 
		“People were talking about all weekend: DJ Anjali & The Incredible Kid–playing every, SINGLE day (the only performers to do so), the Portland duo was the must-not-miss Bollywood/bhangra dance party makers of the weekend.” (Sasquatch! Festival 2011) Oregon Music News 5/31/11
		 
		“Celebrate our local heroes as they hold down the biggest rock fest in the Northwest” (Sasquatch! Festival 2011) The Portland Mercury 5/26/11
		 
		“DJ Anjali and the Incredible Kid sets are one of Portland’s great recurring dance parties.” Willamette Week 12/16/09
		 
		“Portland’s favorite boy/girl DJ pair” The Oregonian 6/19/09
		 
		“The pair have been keeping Portland dancing for so long in various incarnations, imagining the local music scene without their bhangra and Bollywood rhythms is unthinkable. ” The Oregonian 5/26/06
		 
		“The DJs responsible for making “bhangra” and “Asian garage” somewhat household words outside Portland’s Desi community” – The Portland Mercury 1/8/04
","[""DJ Anjali"", ""The Incredible Kid""]",[],"[""Eclectic"", ""Electronic"", ""World - Ethnic"", ""Jazz"", ""Folk"", ""Rock and Roll""]"
http://kboo.fm/program/kitchen-table-conversations,Kitchen Table Conversations,Current,Every first Wednesday of the month from 6:00 pm - 7:00 pm," 

Kitchen Table Conversations is a spontaneous, Live talk radio program focused on discussing important current events and how they are impacting our community and all of us individually. This is not a new concept! I, Mary Postlethwaite, started Kitchen Table Conversation as a series on Bread and Roses, a feminist public affairs show that airs on the KBOO airwaves every Friday at 6:00PM. I am a real, honest, authentic person who loves to connect on a human level with people because I believe everyone has a story to tell. Kitchen Table Conversations has become a way for the KBOO audience to know the Bread and Roses collective members on a more personal level and realize we are real people, just like them! What an honor it would be to expend Kitchen Table Conversations to a monthly show of its own that fosters casual conversations amongst regular people, that models positivity, inclusion, open-minded and realness and that explores grassroots efforts to change our community for the better, one life at a time!

Kitchen Table Conversations has also been and will continue to be a forum for our youth. What is going on with our young people, especially those who live in my community in North Portland is hugely important to me and this is why I invite youth to share their thoughts, opinions and ideas with our KBOO audience, as well as their art and talents on my show often. I believe that some of the best talent goes unheard and unseen and so I feature young artists on the shows who I believe have a huge potential to blow up in the future.

Kitchen Table Conversations is solution oriented show that is intended to be informative, real and fun!
","[""Mary Postlethwaite""]","[""Activism"", ""Youth""]",[]
http://kboo.fm/program/la-ruleta,La Ruleta,Current,"Underground, alternative, non commercial, mainly Mexican, Latin American, Hispanic music. ","The 2nd and 4th Friday of every month, 10:00pm to midnight. 

Cada segundo viernes de cada mes. De 10 a 12 de la noche.

La Ruleta (The Roulette) is a music show, sometimes in english, sometimes in spanish, focused mainly, but not exclusively, on underground, hard to find, independently produced, non commercial,  limited edition recordings, mostly of Mexican, South American and Spanish origin. Ranging from many musical styles as classical, rock, jazz, experimental, avant garde, indigenous, blues, ethnic, electronic, free jazz, some poetry and theatre.

Past shows can be listened at

laruletaradio.wordpress.com

==========================================================================

La Ruleta es un programa, algunas veces en español, otras en inglés, de música principalmente, pero no exclusivamente, mexicana, sudamericana y española subterránea, no comercial, poco conocida, de producciones y compañías independientes, tocando géneros como el rock, el jazz, experimental, clásica, moderna, blues, jazz libre, indígena, electrónica, teatro y poesía.

Programas anteriores pueden ser escuchados en

laruletaradio.wordpress.com
","[""Alejandro Ceballos""]",[],"[""Eclectic"", ""Latino/a"", ""World - Ethnic"", ""Experimental"", ""Folk"", ""Spoken Arts"", ""Electronic"", ""Jazz"", ""Blues"", ""Rock and Roll""]"
http://kboo.fm/program/la-voz-de-la-comunidad,La Voz de la Comunidad,Current,Todo lo que concierne a la comunidad latina,"Every Sunday 3:30pm to 4:30pm.
News, music, general information, interviews  Obras de teatros, entrevistas, informaciones para la comunidad, entrevistas, todo lo que concierne a la comunidad  latina.
",[],"[""Community Building"", ""Activism"", ""Class"", ""Race"", ""Latin@/Hispanic"", ""Government/Politics"", ""Global Affairs"", ""Arts/Culture"", ""Music""]","[""Arts and Culture"", ""Latino/a"", ""World - Ethnic""]"
http://kboo.fm/program/labor-radio,Labor Radio,Current,"Of the working class, by the working class and for the working class","Every Monday from 6:00pm to 6:30pm.

Of the working class, by the working class and for the working class.

Host schedule:

1st Mondays
			Coalition of Black Trade Unionists
		2nd Mondays
			Fernando Gapasin and Anne McDonnell
		3rd Mondays
			Nick Bubb and Stephanie Patricio
		4th Mondays
			John Walsh and Jamie Partridge
		5th Mondays
			Lane Poncy and Michael Morrow
		","[""Tina Turner-Morfitt"", ""Jamie Partridge"", ""La_Stephanie"", ""deborah.hall"", ""fernandogapasin"", ""Lane Poncy"", ""EAnneMcD"", ""mwmorrow""]","[""Activism"", ""Civil Liberties"", ""Civil Rights/Human Rights"", ""Class"", ""Community Building"", ""Government/Politics""]",[]
http://kboo.fm/program/lark-morning,Lark In The Morning,Current,Folk Music,"Fridays from 5:30am to 7:00am, alternates weekly with Dawnbreaker's Breakdown.
Folk Music to get your day started.
","[""Kurt Liebezeit""]",[],"[""Folk""]"
http://kboo.fm/program/life-during-wartime,Life During Wartime,Current,"DIY Punk and Hardcore, live bands, and shows listing for the Portland area","Wednesday 10:00pm to midnight. Alternates weeks with Dr. Zomb's Radio Obscura.
Life During Wartime started in 1995, and is on every other Wednesday night from 10 pm until midnight (PDT), here on KBOO. We play DIY Punk And Hardcore records, have live bands, and do a  local shows listing for the Portland area (annihilate this week ) right around 11pm.
We want your records!! Send them to Life During Wartime /PO BOX 1113 / Portland, OR / 97207-1113
If you have the misfortune of living outside of the Portland area, you can listen to the whole two hour show at kboo.fm/LifeDuringWartime. Live Band sets will also be posted on the website, eventually.
","[""Erin Yanke"", ""Kate McCourt""]",[],"[""Punk"", ""Rock and Roll"", ""Experimental""]"
http://kboo.fm/program/locus-focus,Locus Focus,Current,Weekly interview show about our place on the planet.,"Every Monday from 10:15am to 11:00am.
Locus Focus host Barbara Bernstein talks with local, regional and national experts, activists and policy makers about climate change, food policy, land use, salmon restoration, forest management and all the other things that matter in our environment.
","[""Barbara Bernstein""]","[""Activism"", ""Agriculture"", ""Science/Technology"", ""Food"", ""Global Affairs"", ""Government/Politics"", ""Environment/Climate""]",[]
http://kboo.fm/program/lounge-world,Lounge World,Current,Nu-Jazz; Broken-World; Down-Tempo; Pro-Peace Dance Music Party,"Every Monday from 1:00am to 3:00am.
kboo's nu-jazz, broken-world, down-tempo, pro-peace dance music party - featuring your curator - MC dj AKA Chintzy Schmaltz
","[""Joe Woods""]",[],"[""Eclectic"", ""Electronic"", ""Jazz"", ""Soul""]"
http://kboo.fm/program/madness-radio,Madness Radio,Current,Voices and Visions from Outside Mental Health,"Every 1st Monday 11:30am to 12:00pm.

What does it mean to be called ""crazy"" in a crazy world? Madness Radio: Voices And Visions from Outside Mental Health brings you personal experiences of 'madness' from beyond conventional perspectives and mainstream treatments, and also features authors, advocates, professionals, and artists.

Hosted by Will Hall, who is diagnosed with schizophrenia, Madness Radio was launched in 2005 on Valley Free Radio in Massachusetts and is syndicated nationally on the Pacifica Network. Madness Radio is heard monthly on KBOO the first monday of the month from 11:30am to 12. Will is a leader in the peer recovery movement, a therapist in Portland, has a Diploma from Process Work Institute, and is the director of the support and education community Portland Hearing Voices.

Check out the website archives at www.madnessradio.net to listen online and download more than 100 Madness Radio episodes produced to date. Full hour-long versions of shows heard on KBOO are available. 
","[""Will Hall""]","[""Activism"", ""Community Building"", ""Civil Liberties"", ""Health"", ""Legislation"", ""Social Services""]",[]
http://kboo.fm/program/more-reggae,More Reggae!,Current,More Reggae!,"Every other Wednesday from 3:00 am - 5:30 am

More Reggae! Alternates with The Blooming Universe.
","[""Ras Danny""]",[],"[""Afro-Caribbean"", ""Reggae - Caribbean""]"
http://kboo.fm/program/more-talk-radio,More Talk Radio,Current,Call-in Talk Radio,"Every Monday from 8:00am to 9:00am.
Cecil and Celeste welcome your calls. This program is open to local, national and international issues ranging from poverty in Portland to politics in Africa.
 
","[""Cecil Prescod"", ""Celeste Carey""]","[""Global Affairs"", ""Government/Politics"", ""Class"", ""Civil Rights/Human Rights"", ""Civil Liberties"", ""War/Peace""]",[]
http://kboo.fm/program/morning-glory-snap,Morning Glory Snap,Current,"deep dad rock at dawn, and crepuscular grooves to get the movin' behoovin","Every Other Monday Morning from 3-5:30am
","[""Sam Bouman""]",[],[]
http://kboo.fm/program/movin,Movin' On,Current,"Folk, political, and womens music--traditional & contemporary","Every Friday from 12:00pm (noon) to 1:30pm.Folk, political, and women's music, both traditional and contemporary. A folk music collective, Don and Laurie love to feature live local and nationally known musicians! Music and conversations with an uplifting tilt. Live guests have included Peggy Seeger, Tracy Grammar, Linda Waterfall, Shanghaied on the Willamette, Geoff Muldaur, Utah Phillips, Rosalie Sorrels, and Anne Feeney.
","[""Don Jacobson"", ""Laurie Sonnenfeld""]",[],"[""Arts and Culture"", ""Eclectic"", ""Folk""]"
http://kboo.fm/program/mujeres-bravas,Mujeres Bravas,Current,Latina Music,"Every Sunday from 12:00pm (noon) to 1:30pm.
Latina Music
","[""cristinag"", ""Elizabeth Perry""]",[],"[""Latino/a"", ""Eclectic""]"
http://kboo.fm/program/music-true-vine,Music from the True Vine,Current,Bluegrass and Old Time Music ,"Every Saturday 9:00am to 12:00pm.
We play the best of traditional and contemporary bluegrass and old time music, and we bring you information about local shows and festivals!
","[""Dave Elliott"", ""Gareth Jenkins"", ""Rachel Gold""]",[],"[""Bluegrass"", ""Country"", ""Folk"", ""Eclectic""]"
http://kboo.fm/program/music-without-borders,Music Without Borders,Current,Music Without Borders,"Every Sunday from 8:00pm to 10:00pm.
","[""SOULR I""]",[],"[""Eclectic""]"
http://kboo.fm/program/nekropolis,Nekropolis,Current,Expanding Your Musical Geography,"Every Monday from 2:00am to 3:00am.

NEKROPOLIS - Are you a Nekropolitan?


			Nekropolis KBOO, 90.7 Portland is an eclectic mix of mostly electronic, world, hip-hop, experimental, local and new music.....oh yeah, and covers.

			Music starts at midnight Sundays during the Confessional with The Contessa de la Luna and expands into Nekropolis at 2 am with your host Love Jonze.

			It's late night radio - Eclectic, rockin, abstract, spoken word, electronic mashed potatos.
			
		
			 
			
		
			 
			
		 
","[""Love Jonze""]",[],"[""Eclectic"", ""Electronic"", ""World - Ethnic"", ""Rap - Hip Hop"", ""Experimental""]"
http://kboo.fm/program/news-boo,News from the BOO,Current,An inside look at the goings-on at KBOO,"Every Wednesday from 5:45pm to 6:00pm.

A weekly segment where we provide an inside look at the goings-on at KBOO, and give listeners a chance to weigh in on the priorities of the station.
","[""crenshaw33""]","[""Community Building"", ""Activism"", ""Arts/Culture"", ""Music""]",[]
http://kboo.fm/program/news-depth,News In Depth,Current,A deeper look behind the day's top stories,"Every Monday, Tuesday, and Thursday from 5:45pm to 6:00pm.

KBOO News In Depth is a daily in-depth interview or feature on a story of significant interest to our listening audience.  These pieces focus on local, national or international issues that reflect KBOO's values of peace, justice, democracy, human rights, multiculturalism, environmentalism, freedom of expression or social change.
","[""KBOO News Team"", ""Jenka""]","[""Global Affairs"", ""Government/Politics"", ""Media"", ""Arts/Culture"", ""Class"", ""Race"", ""Civil Rights/Human Rights""]",[]
http://kboo.fm/program/old-mole-variety-hour,Old Mole Variety Hour,Current,A program of social and political commentary from a socialist-feminist point of view.,"Every Monday from 9:00 AM to 10:00 AM.Program Blog
The Old Mole  burrows down to the roots of the great issues of our time – the struggles of ordinary people for democratic and sustainable ways of life.  The Mole  goes where corporate media fear to tread, supporting grassroots challenges to top-down authority and giving voice to movements that shake the foundations of an unjust society.  The Moles' perspective is democratic, broadly socialist, and feminist.  (We count Karl Marx as a friend).
Here is why we call this show ""The Old Mole""
For individual segments and more content: View more Old Mole content
Old Mole on Facebook 
 OldMole on Twitter
Our theme song ""Mole in the Ground"" is by Bascom Lamar Lunsford  (1924), somtimes blended with a newer versions, like the one  by dj/rupture, sung by Sindhu Zagoren.  It's on the album Special Gunpowder. 
Our graphic lettering is  by Charlie Ertola. Host portraits by Clayton Morgareidge.
You can leave comments for the Moles at  oldmolevarietyhour@gmail.com or by clicking on the comment section for any of our audio pieces.  
 
","[""Bill Resnick"", ""Clayton Morgareidge"", ""Denise Morris"", ""Frann Michel"", ""Laurie Mercier"", ""Joe Clement"", ""Larry Bowlden"", ""Jan Haaken"", ""OldMoleVarietyHour"", ""Thom Becker""]",[],[]
http://kboo.fm/program/one-land-many-voices,One Land Many Voices,Current,"Exploring political, social and cultural issues affecting Palestine/Israel.","Every 4th Friday from 9:00 AM to 10:00 AM.                               

Mohammed Nabil and Maxine Foukson explore political, social and cultural issues affecting Palestine/Israel and the conflict there from a human rights centered perspective.  
 
",[],"[""Global Affairs"", ""War/Peace"", ""Activism"", ""Civil Rights/Human Rights""]",[]
http://kboo.fm/program/one-two-one-two,"One Two, One Two",Current,Hip Hop from all corners and blocks....," 

Every Friday from 8:00 PM to 10:00 PM.

 

First Friday: Abangatang Radio with Klavical.Second Friday : KBOO Youth Collective 
The KBOO Youth Collective is open to anyone uner 21. We'l focus on youth hip hop community groups in the first hour, and then expand for the second hour.

Third Friday: Friday Nite Primo with DJ ATM hailing from AZ ...Smashing records in a Gurp City tradition- special guest appearence by JMorg

Fourth Friday:    One Two, One Two ZULUUUUU!!! Grimrock: Turntablist from Portland, and member of the Universal Zulu Nation Oregon Chapter (45th Parallel Zulus) and other guest

 


","[""Davis Cleveland"", ""DJ Grimrock"", ""KBOO Youth Collective""]","[""Activism"", ""Arts/Culture"", ""Community Building"", ""Poetry"", ""Music"", ""Radio Theater"", ""Youth""]","[""Arts and Culture"", ""Eclectic"", ""Electronic"", ""Experimental"", ""Rap - Hip Hop""]"
http://kboo.fm/program/oregon-community-media,Oregon Community Media,Current,Oregon Community Media is a collaborative effort of over 20 community radio stations in Oregon,"Oregon Community Media: Independent community radio and media working in collaboration to better serve Oregon. OCM is composed of over 20 local and independent community broadcasters.
","[""Erin Yanke""]","[""Activism"", ""Community Building"", ""Arts/Culture"", ""Legislation"", ""Government/Politics"", ""Social Services""]",[]
http://kboo.fm/program/pacific-underground,Pacific Underground,Current,Asians and Pacific Islanders (APIs) in Oregon taking the mic into our own hands,"Every fourth Friday at 11:00 am to 12:00 pm.

Pacific Underground is a show by Asians and Pacific Islanders (APIs) taking the mic into our own hands.

There are nearly 225,000 APIs in Oregon. But in one of America’s whitest states, the issues that impact us simply aren’t covered. Imagine: 225,000 stories untold.

Stay tuned here for interviews, documentaries, audio essays, performances, as well as real-time coverage of national social, economic and political issues affecting APIs in your local community. 

Since the end of the only Pacific Northwest API public affairs radio program, APA Compass, there has been a lack of API representation in Oregon media. We believe that by creating a public platform in which APIs can tell our stories in a way that reflects our actual experiences, 

we empower our communities, 
	we expand our reach in spaces previously denied to us and 
	we honor the legacy of generations before us who have been left out of American narratives.
Pacific Underground is holding space for API community members who want to be heard. If you want to join us, email pacificunderground@kboo.org. No experience necessary. 
","[""Pamela Santos"", ""Alan Montecillo"", ""jyokoyama"", ""Canaan Schlesinger"", ""Tabitha Teo""]","[""Asian Pacific American"", ""Activism"", ""Civil Rights/Human Rights"", ""Class"", ""Community Building"", ""Government/Politics"", ""Global Affairs"", ""Race"", ""History""]",[]
http://kboo.fm/program/pandaemonium,Pandæmonium,Current,"Better to reign in Hell, than serve in Heav'n.","Airs Wednesday nights midnight to 3:00am. Alternates weekly with Heavy Metal Vomit Party.

The mind is its own place, and in itself

Can make a heav'n of hell, a hell of heav'n.
","[""quincyhoist""]",[],[]
http://kboo.fm/program/pastures-plenty,Pastures of Plenty,Current,Traditional and Contemporary folk music,"Every Wednesday from 5:30am to 7:00am. 

Jack Bohl hosts first Wednesdays, John Kellermann 2nd Wednesdays, Ed Mellnik third and fifth Wednesdays,  John Risley 4th Wednesdays.

Audio archives are available for two weeks. Search this site for ""Pastures"" to find earlier playlists.
","[""Jack Bohl"", ""John Kellermann"", ""Ed Mellnik"", ""John Risley""]",[],"[""Folk""]"
http://kboo.fm/program/pathways,Pathways,Current,Conversations with leaders in personal and cultural transformation.,"Every Sunday from 8:30 AM to 9:00 AM.
For over 25 years on KBOO, the Pathways interview program has offered lively, original conversations with leaders in personal and cultural transformation. Over the years, we have been honored to bring to KBOO listeners some of the biggest names in the field -- including:  Deepak Chopra, Wayne Dyer, John Gray, Elizabeth Kubler-Ross and hundreds of other authors and teachers. In addition, we make it a point to host local talent -- people who are making a positive cultural difference in our Oregon radio community.
","[""Paul OBrien""]","[""Health"", ""Recovery"", ""Faith/Religion/Spirituality"", ""Arts/Culture"", ""Activism""]",[]
http://kboo.fm/program/persian-hour-art-and-music-show,"Persian Hour"" Art and Music Show",Current,Persian Art and Music,"Every Sunday from 11:00 AM to 12:00 PM.
Persian Art and Music
","[""Bahram"", ""Pari Parizad""]",[],"[""World - Ethnic"", ""Eclectic"", ""Arts and Culture""]"
http://kboo.fm/program/plugged,Plugged In,Current,"Electronic music across the spectrum with recent releases, local artists, and guest DJs.","Every first and third Friday from 10:00 PM to 12:00 AM. 
DJ Tronic hosts the Plugged In show on KBOO the first and third Friday of each month from 10pm - 12am PST.  Tronic does a live DJ mix in the studio featuring the latest in deep house, house, techno, tech house, breaks, drum-n-bass, downtempo and more.  Tronic also has guest DJs in the studio, and we often talk about upcoming parties and club nights, and have ticket and CD giveaways on the show.
Connect with us on our facebook page.
","[""Tronic""]",[],"[""Eclectic"", ""Electronic"", ""Experimental""]"
http://kboo.fm/program/poetic-license,Poetic License,Current,"An hour journey into the spoken word with artist, author, educator and performer Turiya Autry."," 

Every first Monday from 10:00 PM to 11:00 PM.

Poetic License: The liberty taken by an artist/writer in deviating from conventional rules to produce a desired effect. 
In this one hour show, the first Monday of every month, Turiya will explore the spoken word arts. Join her on an adventure as she seeks out the poetics of life, in the Northwest and beyond. In the studio, at performances, on the street- through Poetic License, Turiya shares stories of her travels, the art and interviews with other wordsmiths. 
","[""Turiya""]","[""Arts/Culture"", ""Poetry"", ""Fiction""]","[""Arts and Culture"", ""Spoken Arts"", ""Experimental""]"
http://kboo.fm/program/poetry-and-everything,Poetry And Everything,Current,Judith and guests read and talk about poetry and everything,"4th Monday from 10pm  - 11pm

Hosted by Portland writer/poet Judith Arcana  (photo by Lynda Koolish)

Guests will be Portland poets, nearby poets, faraway poets, pairs of poets, groups of poets - maybe even folks who are not poets, all of them reading and talking about poetry (and everything).

 

 
","[""Judith Arcana""]","[""Poetry""]",[]
http://kboo.fm/program/political-perspectives,Political Perspectives,Current,News and views on current politics.,"Every Wednesday from 9:00 AM to 10:00 AM.

 

Different hosts each week bring a variety of guests and topics.
","[""Kathleen Stephenson""]","[""War/Peace"", ""Government/Politics"", ""Global Affairs"", ""Civil Rights/Human Rights"", ""Legislation""]",[]
http://kboo.fm/program/portland-general-eclectic,Portland General Eclectic,Current,Eclectic music programming,"Every second and fourth Monday from 3:00 AM to 5:30 AM.
Fearlessly eclectic music programming with an emphasis on the jamband scene. From folk to funk, bluegrass to reggae, jazz to jam, it's like a music festival on the radio in the middle of the night! Now in it's 23rd year on the air!
","[""Rich Flaminio""]",[],"[""Eclectic"", ""Jazz"", ""Folk"", ""Rock and Roll""]"
http://kboo.fm/program/portland-jewish-hour,Portland Jewish Hour,Current,Jewish Music and Culture," 

Sundays 10-11am Pacific Time


 

 

 

Jewish, Yiddish, Ladino, Klezmer, Israeli, Mizrahi and Sephardic Music and Culture

We'd love to hear from you. You can email us by clicking on our names at the top of the site.

Upcoming shows:

October 2 - Liz hosts
October 9 - Chaim hosts
October 16 - Chaim hosts
October 23 - Chaim hosts
October 30 - Chaim hosts

 

 

 


 
","[""Liz Schwartz"", ""Shuli Rutzick"", ""Chaim Wolin""]","[""Music""]","[""World - Ethnic""]"
http://kboo.fm/program/positively-revolting,Positively Revolting,Current,"A variety of topics from an eco-feminist, and anarcha-feminist perspective","Every Friday from 8:00 AM to 9:00 AM.
Hosts Ani and Lyn talking about a variety of topics from an eco-feminist, and anarcha-feminist perspective.  Call in and voice your thoughts, ideas and opinions on today's topics.
","[""ani"", ""lyn""]","[""Gender"", ""Class"", ""Environment/Climate"", ""Government/Politics"", ""Arts/Culture""]",[]
http://kboo.fm/program/preference,Preference,Current,LGBTQA public affairs,"Every second and fifth Tuesday from 6:00 PM to 7:00 PM.

Preference: a queer experiment in radio is KBOO's new program focusing on the LGBTQA community of Portland, Oregon and surrounding areas.
We aim to provide space on the radio for members of our community, especially the traditionall least-voiced, to air their preferences about how our social world can better meet their (our) needs.
Preference airs some Tuesdays, 6-7 pm, on KBOO.
Find us on facebook at www.facebook.com/preferenceradio
 
","[""Alan Silver""]","[""Sexuality"", ""LGBTQ""]",[]
http://kboo.fm/program/presswatch,Presswatch,Current,News You're Not Supposed to Know,"Every first, second and fourth Thursday from 9:00 AM to 10:00 AM,
and every third and fifth Thursday from 9:00 AM to 9:30 AM.
PressWatch is a weekly counterpropaganda and Left opinion program hosted by Theresa Mitchell; expect analysis, alternative news, humor, and transgender politics.  
 
","[""theresa58x""]","[""Activism"", ""Media"", ""Government/Politics"", ""Humor"", ""Sexuality"", ""LGBTQ"", ""Global Affairs""]",[]
http://kboo.fm/program/prison-pipeline,Prison Pipeline,Current,Connecting with the Community Inside,"Every Monday 6:30 PM to 7:00 PM.



MISSION STATEMENT


Prison Pipeline is a radio program dedicated to educating the public about the Oregon criminal justice system. Our goal is to present a unique understanding of the criminal justice system, address the root causes of crime, and challenge the status quo. We seek to promote awareness and activism in order to foster a safe, healthy, and just society. Tune in every Monday at 6:30 P.M. to hear our hosts Karen James, Adam Carpinelli, Amy Johnson, Emma Lugo and Doug McVay explore the Oregon justice system with a variety of guests. Hosts rotate weekly. Prison Pipeline's engineers are Danielle Parks and Michael Ftaclas.


Please like us on Facebook: http://www.facebook.com/pages/Prison-Pipeline/106771506092500

 

Please feel free to connect with us with any questions, comments or suggestions at   kbooppc@gmail.com

Login to post comments

 


 

 

 
","[""Karen James"", ""Amy Johnson"", ""acarpinelli"", ""Carlos Chavez"", ""emma lugo"", ""Doug McVay""]","[""Activism"", ""Class"", ""Civil Rights/Human Rights"", ""Civil Liberties"", ""Government/Politics"", ""Law/Court/Crime"", ""Prison""]",[]
http://kboo.fm/program/qtpoc-talk,QTPOC Talk,Current,Program on Portland’s Queer and Trans Communities of Color,"Every third Tuesday from 6:00 PM to 7:00 PM.

The show features two local members of Portland’s Queer and Trans Communities of Color (QTPOC).  The goal is to increase support for Portland’s Queer and Trans Communities of Color and the intersectionality of these identities. This show will act as a medium for uplifting the narratives of Portland's QTPOC community by providing updates, interviews and reporting national news pertaining to a Queer and Trans People of Color (QTPOC) demographic.
","[""Darion Jones""]","[""Arts/Culture"", ""Activism"", ""LGBTQ"", ""Sexuality"", ""Gender"", ""Race""]",[]
